date,open,high,low,close
17/03/2020 07:40,6.4289,6.4296,6.4253,6.426
17/03/2020 07:50,6.4261,6.4278,6.426,6.4262
17/03/2020 08:00,6.4262,6.4284,6.426,6.4276
17/03/2020 08:10,6.4276,6.4293,6.4233,6.4234
17/03/2020 08:20,6.4234,6.431,6.4224,6.4261
17/03/2020 08:30,6.4261,6.4304,6.4254,6.4259
17/03/2020 08:40,6.4259,6.4323,6.4256,6.4315
17/03/2020 08:50,6.4315,6.4386,6.4313,6.437
17/03/2020 09:00,6.437,6.4406,6.4366,6.4379
17/03/2020 09:10,6.4379,6.439,6.4341,6.4366
17/03/2020 09:20,6.4366,6.4367,6.4271,6.4331
17/03/2020 09:30,6.4331,6.4382,6.4299,6.4302
17/03/2020 09:40,6.4301,6.4333,6.4292,6.4319
17/03/2020 09:50,6.4319,6.4398,6.4315,6.4385
17/03/2020 10:00,6.4385,6.4386,6.4368,6.4377
17/03/2020 10:10,6.4377,6.4384,6.4333,6.4377
17/03/2020 10:20,6.4378,6.4457,6.4362,6.4424
17/03/2020 10:30,6.4423,6.4493,6.4422,6.4493
17/03/2020 10:40,6.4493,6.4523,6.4491,6.4523
17/03/2020 10:50,6.4523,6.4527,6.4509,6.4518
17/03/2020 11:00,6.4518,6.4558,6.4516,6.4555
17/03/2020 11:10,6.4555,6.4567,6.4531,6.4567
17/03/2020 11:20,6.4567,6.458,6.4564,6.4574
17/03/2020 11:30,6.4574,6.4627,6.456,6.4615
17/03/2020 11:40,6.4615,6.4639,6.4606,6.4625
17/03/2020 11:50,6.4625,6.4665,6.4619,6.466
17/03/2020 12:00,6.466,6.4693,6.4657,6.4691
17/03/2020 12:10,6.4691,6.4721,6.4684,6.4698
17/03/2020 12:20,6.4697,6.4704,6.4604,6.4652
17/03/2020 12:30,6.4652,6.4743,6.4652,6.4739
17/03/2020 12:40,6.4738,6.4814,6.4727,6.4814
